Listing ,Temperature (Day/Night),Humidity,Light (Day/night),Air Quality ( PM2.5 / CO₂) ,Sound (Day/Night)
1,23 - 25 °C / 21-22°C,45-55% RH,600 - 800 lux / <10 lux,5-8 µg/m³ / 600-800 ppm,40 - 45 dB / 35 - 38 dB
2,22 - 24 °C /  21-22°C,40-50% RH,1200-1500 lux /< 50 lux,10-15 µg/m³ / 700-900 ppm,65 - 70 dB / 45-50 dB 
3,22 - 24 °C /  19-20°C,45-55% RH,500-700 lux / < 5 lux,3-7 µg/m³ / 500-700 ppm,50-55 dB / 30-35 dB
4,21 - 23°C /  19-20°C,50-60% RH,400-600 lux / < 50 lux,8-12 µg/m³ / 800-1000 ppm,60-65 dB / 40-45 dB
5,24-27°C / 21-22°C,40-45% RH,1800-2000 lux / < 50 lux,5-10 µg/m³ / 600-750 ppm,45-50 dB / 38-42 dB
6,22-23°C / 20-21°C,45-50% RH,500-600 lux / < 30 lux,7-10 µg/m³ / 700-850 ppm,48-52 dB / 38-40 dB
7,20-24°C / 18-19°C,55-65% RH,300-500 lux / < 50 lux,8-15 µg/m³ / 400-600 ppm,50-55 dB / 40-45 dB
8,19-20°C / 18-19°C,60-65% RH,200-300 lux / < 50 lux,5-8 µg/m³ / 900-1100 ppm, 45-48 dB / 35-38 dB
9,22-22.5°C / 21-21.5°C,48-52% RH,700-900 lux / < 10 lux,1-3 µg/m³ / 450-550 ppm,42-45 dB / 32-35 dB
10,21-23°C / 20-21°C,45-55% RH,800-1000 lux / < 50 lux,12-18 µg/m³ / 700-900 ppm,70-80 dB / 40-45 dB
