Date,Room_Temp,Air_Quality,Humidity,Light_Intensity,Sound_Level
2024-11-14,23.0,5.28,42.4,1052.0,51.0
2024-11-15,23.39,7.12,44.1,960.0,66.0
2024-11-16,22.7,9.25,42.2,947.0,76.0
2024-11-17,22.79,7.13,40.7,901.0,56.0
2024-11-18,22.93,7.3,41.4,973.0,19.0
2024-11-19,23.07,8.12,43.4,875.0,53.0
2024-11-20,23.14,6.89,41.6,938.0,20.0
2024-11-21,22.68,6.46,44.3,926.0,63.0
2024-11-22,22.96,8.66,44.5,986.0,76.0
2024-11-23,23.32,7.31,43.3,975.0,22.0
2024-11-24,23.11,5.3,41.1,954.0,54.0
2024-11-25,22.99,5.36,42.2,893.0,29.0
2024-11-26,23.32,7.79,42.1,957.0,41.0
2024-11-27,22.59,7.75,42.8,992.0,23.0
2024-11-28,22.92,5.1,41.1,928.0,17.0
2024-11-29,23.16,7.85,42.3,966.0,43.0
2024-11-30,23.42,9.35,42.2,928.0,54.0
2024-12-01,23.77,9.41,40.5,918.0,67.0
2024-12-02,23.41,8.57,44.3,986.0,21.0
2024-12-03,23.53,7.32,44.2,979.0,13.0
2024-12-04,23.96,9.82,42.5,932.0,89.0
2024-12-05,23.9,6.79,44.9,908.0,54.0
2024-12-06,23.58,6.32,42.3,887.0,17.0
2024-12-07,24.21,8.55,42.6,895.0,46.0
2024-12-08,24.07,8.31,42.1,1006.0,30.0
2024-12-09,24.34,9.39,42.8,945.0,33.0
2024-12-10,24.19,5.54,43.3,963.0,35.0
2024-12-11,24.11,7.63,43.5,915.0,38.0
2024-12-12,24.39,8.43,40.7,950.0,10.0
2024-12-13,24.68,5.32,42.3,879.0,57.0
2024-12-14,23.96,6.76,40.5,1014.0,59.0
2024-12-15,24.13,5.97,43.7,958.0,49.0
2024-12-16,24.53,9.27,40.1,933.0,46.0
2024-12-17,24.86,5.68,44.5,894.0,25.0
2024-12-18,24.39,9.0,41.0,953.0,84.0
2024-12-19,24.6,7.07,42.9,911.0,64.0
2024-12-20,24.64,9.0,41.4,923.0,51.0
2024-12-21,24.9,9.92,44.7,957.0,47.0
2024-12-22,25.52,6.12,42.8,920.0,34.0
2024-12-23,25.73,6.72,41.5,935.0,35.0
2024-12-24,25.05,9.07,44.8,948.0,19.0
2024-12-25,25.54,9.97,42.7,923.0,29.0
2024-12-26,24.98,5.8,44.8,930.0,42.0
2024-12-27,26.17,5.22,42.1,979.0,12.0
2024-12-28,26.94,6.91,42.4,943.0,49.0
2024-12-29,27.71,7.08,43.0,939.0,60.0
2024-12-30,25.52,5.46,41.2,1012.0,62.0
2024-12-31,25.19,9.43,42.5,975.0,42.0
2025-01-01,25.86,5.61,42.6,844.0,32.0
2025-01-02,25.84,5.71,42.4,975.0,48.0
2025-01-03,26.23,6.79,41.1,1013.0,48.0
2025-01-04,26.42,9.2,40.7,1008.0,50.0
2025-01-05,25.9,6.36,44.6,932.0,30.0
2025-01-06,26.69,7.0,42.0,949.0,66.0
2025-01-07,27.02,6.66,42.1,897.0,25.0
2025-01-08,25.69,8.44,41.5,971.0,35.0
2025-01-09,26.35,7.17,43.2,1007.0,45.0
2025-01-10,26.18,5.39,44.7,909.0,41.0
2025-01-11,25.65,5.99,43.5,934.0,32.0
2025-01-12,25.71,5.73,41.9,915.0,35.0
2025-01-13,26.37,5.16,40.9,973.0,70.0
2025-01-14,26.9,9.62,41.0,933.0,41.0
2025-01-15,27.26,5.99,41.6,930.0,10.0
2025-01-16,25.54,9.52,41.6,964.0,71.0
2025-01-17,25.89,5.11,41.1,1003.0,35.0
2025-01-18,26.67,5.25,42.4,896.0,74.0
2025-01-19,27.53,5.71,44.0,915.0,40.0
2025-01-20,25.89,7.17,42.4,940.0,62.0
2025-01-21,25.76,9.48,40.9,916.0,19.0
2025-01-22,26.09,6.48,43.1,850.0,-1.0
2025-01-23,27.37,6.34,41.3,910.0,20.0
2025-01-24,25.66,8.31,43.5,904.0,31.0
2025-01-25,26.32,8.9,42.5,963.0,74.0
2025-01-26,27.66,9.51,43.8,1011.0,0.0
